zip_code,value,latitude,longitude
90015,416,34.0434,-118.2716
92101,387,32.7185,-117.1593
90028,355,34.1005,-118.3254
90036,352,34.0699,-118.3492
91913,306,32.6513,-116.9852
92336,305,34.1173,-117.4378
90045,297,33.9631,-118.3941
90302,272,33.9745,-118.3548
90016,262,34.0298,-118.3528
91367,260,34.1767,-118.6159
94565,241,38.0031,-121.9172
91601,240,34.1687,-118.3713
95835,237,38.6626,-121.4834
91730,234,34.107,-117.5941
92618,233,33.7074,-117.7054
90008,229,34.0116,-118.3411
90017,228,34.0559,-118.2666
90043,226,33.9871,-118.3321
94544,220,37.6374,-122.067
90250,220,33.9143,-118.3493
90012,217,34.0614,-118.2385
92883,217,33.7541,-117.474
90046,216,34.1074,-118.3652
90745,214,33.823,-118.2684
90047,210,33.9569,-118.3073
90746,205,33.8584,-118.2554
91344,201,34.2771,-118.4992
91710,200,34.0125,-117.6844
91203,200,34.1517,-118.2636
94591,197,38.0985,-122.2124
90034,197,34.029,-118.4005
91350,192,34.4336,-118.5007
90706,192,33.8867,-118.1265
91709,190,33.9797,-117.7308
92019,186,32.7777,-116.9191
92154,184,32.5753,-117.0707
94568,183,37.7166,-121.9226
94531,183,37.9658,-121.7758
90650,182,33.9056,-118.0818
91326,179,34.2619,-118.582
92108,179,32.7783,-117.1335
90019,179,34.0482,-118.3343
90049,178,34.066,-118.474
90018,177,34.029,-118.3152
90280,177,33.9462,-118.2013
91761,176,34.0316,-117.6187
90805,176,33.8635,-118.1801
90044,174,33.9551,-118.2901
94612,174,37.8085,-122.2668
91504,173,34.2001,-118.3264
90802,172,33.7706,-118.182
94533,167,38.2671,-122.0357
90241,166,33.9416,-118.1306
90301,166,33.955,-118.3556
90035,165,34.0531,-118.3806
94605,163,37.7641,-122.1633
90305,162,33.9583,-118.3259
94513,161,37.9324,-121.6894
95123,161,37.2458,-121.8306
93551,160,34.6017,-118.231
91335,159,34.2007,-118.5391
91311,152,34.2583,-118.5914
90807,151,33.8315,-118.1811
91342,151,34.3054,-118.4322
90292,150,33.9779,-118.4525
90066,150,34.003,-118.4298
92503,149,33.9208,-117.4589
90278,148,33.8707,-118.3715
92660,148,33.6295,-117.8684
91405,148,34.2001,-118.4456
91915,147,32.6315,-116.9408
92373,145,34.0397,-117.1804
92555,143,33.9377,-117.1851
91739,141,34.1705,-117.5182
92592,141,33.4983,-117.0958
94607,140,37.8071,-122.2851
92612,139,33.6607,-117.8264
95757,138,38.4081,-121.4294
91423,138,34.1526,-118.4322
90247,137,33.8925,-118.2961
90640,136,34.0133,-118.113
91605,136,34.2057,-118.4001
90004,135,34.0762,-118.3029
92584,134,33.6647,-117.1743
91606,133,34.1872,-118.3865
90731,133,33.7339,-118.2914
91604,132,34.143,-118.3913
92782,132,33.7346,-117.7869
90262,132,33.9241,-118.2013
90038,131,34.0898,-118.3215
92707,130,33.7086,-117.8701
91364,130,34.1557,-118.6
92602,129,33.7419,-117.7467
91764,128,34.0763,-117.6254
92376,127,34.1132,-117.3771
92120,127,32.7958,-117.0707
95834,127,38.6383,-121.5072
91206,126,34.1556,-118.2322
94561,126,37.994,-121.7036
94534,126,38.2423,-122.1314
90703,125,33.8669,-118.0686
90026,125,34.0766,-118.2646
92805,123,33.8359,-117.9086
91910,122,32.6371,-117.0676
91302,121,34.1419,-118.6641
91403,121,34.1514,-118.4603
91607,120,34.1672,-118.3989
92507,119,33.9761,-117.3389
90005,119,34.0585,-118.3012
95136,119,37.2685,-121.849
90255,118,33.9769,-118.2161
90303,117,33.9377,-118.3321
91202,116,34.1652,-118.2656
91001,116,34.1912,-118.1392
91324,116,34.2367,-118.5466
95833,116,38.6157,-121.5053
92880,114,33.9208,-117.6096
92563,114,33.569,-117.1783
90048,114,34.0737,-118.372
91762,114,34.0584,-117.6665
92882,114,33.8419,-117.6043
94611,114,37.8471,-122.2223
90220,113,33.8748,-118.2402
95020,112,37.0139,-121.5773
91104,112,34.1678,-118.1261
92553,112,33.9157,-117.2351
93311,112,35.3039,-119.1056
90723,111,33.8969,-118.1632
94541,111,37.674,-122.0894
92614,111,33.6829,-117.8298
90240,111,33.9581,-118.1174
95687,111,38.3482,-121.9538
90210,110,34.0901,-118.4065
91786,110,34.1144,-117.6583
90712,109,33.8512,-118.1457
92880,108,33.9208,-117.6096
95112,108,37.3476,-121.887
90056,108,33.9853,-118.3707
91107,107,34.151,-118.0889
90230,106,33.9949,-118.3991
95823,106,38.4797,-121.4438
95624,106,38.4232,-121.3599
91306,106,34.2092,-118.5749
91401,106,34.1802,-118.4324
90069,105,34.0906,-118.3788
91205,105,34.1378,-118.2425
92648,104,33.6773,-118.0051
95127,104,37.3692,-121.8208
94547,104,38.0066,-122.2637
93722,104,36.7918,-119.8801
90631,104,33.9331,-117.9493
91911,103,32.6084,-117.0565
94606,103,37.7957,-122.2429
95747,102,38.7703,-121.3372
94542,101,37.6586,-122.0472
92620,101,33.7009,-117.7564
95035,100,37.4352,-121.895
91201,99,34.1716,-118.2899
95648,99,38.8942,-121.2908
92647,99,33.721,-118.0033
91387,99,34.4132,-118.426
94578,98,37.7024,-122.124
90221,98,33.8796,-118.2168
94608,97,37.8365,-122.2804
94080,97,37.6574,-122.4235
95758,97,38.4243,-121.437
91316,97,34.1655,-118.5175
90503,96,33.8397,-118.3542
92626,95,33.6801,-117.9085
90011,94,34.0079,-118.2582
90025,94,34.0447,-118.4487
92407,94,34.2166,-117.3908
92562,94,33.5631,-117.2738
91016,94,34.144,-118.0014
91745,93,33.9977,-117.9652
94610,93,37.8126,-122.2443
91708,93,33.954,-117.6404
90660,93,33.9886,-118.0883
91501,92,34.1862,-118.3009
92130,92,32.9555,-117.2252
90815,92,33.7939,-118.1192
91766,91,34.0418,-117.7569
91601,91,34.1687,-118.3713
92656,91,33.5701,-117.7086
92627,91,33.6483,-117.9155
92683,91,33.7524,-117.9939
90242,91,33.9218,-118.1395
95121,90,37.3042,-121.8099
91977,89,32.724,-116.9976
95209,89,38.0377,-121.3445
94609,89,37.8361,-122.2637
95125,89,37.296,-121.8939
95128,89,37.3163,-121.9356
92705,88,33.754,-117.7919
94804,88,37.9265,-122.3342
92879,87,33.8797,-117.5354
90014,87,34.0443,-118.2509
92114,86,32.7059,-117.0524
91744,86,34.0289,-117.9373
90605,86,33.9413,-118.0356
90804,86,33.7857,-118.1357
94587,86,37.5895,-122.0497
90630,85,33.8181,-118.0357
91942,85,32.7835,-117.0189
92557,85,33.9553,-117.2457
90068,85,34.1156,-118.3305
90037,85,34.003,-118.2863
90027,85,34.104,-118.2925
91801,84,34.0914,-118.1293
92392,84,34.4802,-117.4082
95148,83,37.3304,-121.7913
91784,83,34.141,-117.6581
90620,83,33.8439,-118.008
92704,83,33.7249,-117.909
90249,83,33.8998,-118.3199
90024,83,34.0637,-118.4408
93727,82,36.7528,-119.7061
91042,82,34.2544,-118.2849
91352,82,34.2209,-118.3699
93535,82,34.7131,-117.8783
95376,82,37.7383,-121.4345
