zip_code,value,latitude,longitude
11236,882,40.6407,-73.9028
20772,846,38.8377,-76.798
30318,765,33.7865,-84.4454
20774,730,38.8682,-76.8156
30126,697,33.8332,-84.6031
30331,686,33.7224,-84.5205
77459,672,29.5704,-95.5423
77584,668,29.5405,-95.3208
30339,666,33.8713,-84.4629
30349,660,33.6053,-84.4813
11234,657,40.6205,-73.9239
11226,656,40.6467,-73.957
30080,651,33.8796,-84.5023
30324,624,33.8206,-84.3549
11203,622,40.6505,-73.9349
33166,621,25.8301,-80.2926
30213,605,33.5648,-84.5809
20002,579,38.9024,-76.9901
30253,525,33.451,-84.1544
33025,525,25.9921,-80.2712
30309,519,33.7984,-84.3883
28269,508,35.2886,-80.8209
30316,481,33.7217,-84.3339
77407,481,29.6625,-95.7272
33027,465,25.9974,-80.3248
21117,454,39.4269,-76.7769
60605,447,41.8713,-87.6277
77007,438,29.7736,-95.4034
60616,434,41.8426,-87.6306
75034,419,33.1499,-96.8241
90015,416,34.0434,-118.2716
11233,416,40.6784,-73.9211
33137,412,25.8156,-80.1897
60653,410,41.8196,-87.6126
33132,409,25.7867,-80.18
30305,405,33.832,-84.3851
22191,404,38.6356,-77.2683
75204,401,32.8038,-96.7851
11207,400,40.6705,-73.894
10701,396,40.9461,-73.8669
20910,395,38.9982,-77.0338
77433,390,29.8836,-95.7025
92101,387,32.7185,-117.1593
11216,381,40.6794,-73.9496
02301,374,42.0794,-71.04
11221,371,40.6907,-73.9274
30044,370,33.9418,-84.0706
11210,368,40.6281,-73.9467
30043,365,34.0031,-84.0126
07083,360,40.6952,-74.2677
90028,355,34.1005,-118.3254
75115,355,32.6041,-96.8653
30135,354,33.6989,-84.7454
90036,352,34.0699,-118.3492
11413,348,40.6645,-73.7559
30052,346,33.8769,-83.8968
77056,344,29.7446,-95.4683
77002,343,29.7594,-95.3594
33131,343,25.7629,-80.1895
33025,341,25.9921,-80.2712
77084,340,29.844,-95.6623
07305,335,40.702,-74.089
30326,335,33.8482,-84.3582
77493,332,29.8678,-95.8298
77494,329,29.7404,-95.8304
20720,327,38.9885,-76.791
77004,327,29.7247,-95.3625
11003,326,40.6976,-73.7049
20706,324,38.9675,-76.8551
20707,323,39.1077,-76.872
77027,323,29.7396,-95.446
77449,320,29.8323,-95.736
11225,319,40.6628,-73.9546
75201,318,32.7904,-96.8044
76063,318,32.5773,-97.1416
30127,317,33.9135,-84.6859
22304,313,38.8149,-77.121
20011,312,38.9518,-77.0203
77018,312,29.8272,-95.4266
91913,306,32.6513,-116.9852
20721,305,38.9194,-76.7871
92336,305,34.1173,-117.4378
28213,305,35.2836,-80.7638
10467,302,40.8737,-73.8712
30058,301,33.7356,-84.1009
77346,300,30.0042,-95.1728
75068,299,33.1768,-96.9583
75219,298,32.8132,-96.8142
90045,297,33.9631,-118.3941
30067,297,33.9282,-84.4733
11580,297,40.6742,-73.7057
75104,294,32.5885,-96.9438
11213,293,40.67,-73.9367
33186,292,25.6694,-80.4085
30082,290,33.8631,-84.5382
60615,287,41.8022,-87.6006
10463,286,40.8798,-73.9067
10027,284,40.8116,-73.955
30312,284,33.7467,-84.3781
20744,282,38.7587,-76.9835
33321,282,26.212,-80.2696
11208,278,40.6762,-73.8736
07601,277,40.8882,-74.0503
30308,276,33.7718,-84.3757
28202,275,35.229,-80.8419
77406,273,29.6436,-95.798
07052,273,40.7859,-74.2568
77583,273,29.4203,-95.4537
33578,272,27.8633,-82.3499
90302,272,33.9745,-118.3548
20735,272,38.7549,-76.9026
30024,270,34.0425,-84.0262
28262,269,35.3183,-80.7476
20018,269,38.9277,-76.9762
60643,269,41.6996,-87.6628
22554,268,38.4586,-77.4306
11520,268,40.6536,-73.5866
89148,267,36.0588,-115.3104
75126,265,32.7491,-96.4598
10466,262,40.8904,-73.8503
75052,262,32.6605,-97.0311
28215,262,35.244,-80.7387
90016,262,34.0298,-118.3528
30281,261,33.5633,-84.2165
19720,261,39.5929,-75.6515
30519,261,34.0797,-83.9308
20603,260,38.6294,-76.9769
89141,260,36.0104,-115.2073
91367,260,34.1767,-118.6159
33015,259,25.9388,-80.3165
07003,259,40.8035,-74.1891
30039,258,33.8178,-84.0229
11434,258,40.6775,-73.7758
30294,257,33.6166,-84.2939
29229,257,34.1388,-80.8892
07002,254,40.6664,-74.1192
10314,254,40.6039,-74.1472
30328,252,33.9335,-84.3958
30096,252,33.9845,-84.1529
20003,250,38.8829,-76.9895
06902,249,41.0602,-73.5445
28278,248,35.2072,-80.9568
11510,248,40.6548,-73.6097
33130,248,25.7672,-80.2059
11212,247,40.6625,-73.9145
07047,245,40.7939,-74.0258
10469,245,40.8702,-73.8495
34761,244,28.5837,-81.5326
33178,243,25.8141,-80.3549
21076,243,39.1551,-76.7215
33172,242,25.7735,-80.3572
30017,242,33.8901,-83.9632
70122,241,30.0056,-90.0644
11201,241,40.694,-73.9903
34787,241,28.5423,-81.5911
94565,241,38.0031,-121.9172
20019,241,38.8902,-76.9376
91601,240,34.1687,-118.3713
28273,239,35.1287,-80.9338
30034,239,33.6954,-84.2489
95835,237,38.6626,-121.4834
60619,237,41.7458,-87.6054
60611,236,41.8971,-87.6223
78660,235,30.4421,-97.6299
30087,235,33.8082,-84.1702
07017,235,40.7696,-74.2077
33312,235,26.0968,-80.181
07304,235,40.718,-74.0754
32832,234,28.3774,-81.1888
91730,234,34.107,-117.5941
28277,233,35.0552,-80.8195
10032,233,40.8382,-73.942
92618,233,33.7074,-117.7054
11550,231,40.7049,-73.6176
10461,231,40.8465,-73.841
11422,230,40.6621,-73.7353
20613,229,38.6922,-76.832
90008,229,34.0116,-118.3411
90017,228,34.0559,-118.2666
30328,228,33.9335,-84.3958
33065,228,26.2729,-80.2603
38016,227,35.1602,-89.7816
60607,227,41.8721,-87.6578
33014,226,25.8963,-80.3063
90043,226,33.9871,-118.3321
32218,225,30.4507,-81.6626
75039,224,32.8697,-96.9389
77077,224,29.7477,-95.603
38018,224,35.1556,-89.7762
10462,224,40.8434,-73.8602
22202,224,38.8565,-77.0592
76227,222,33.292,-96.9879
07666,222,40.8915,-74.0119
33172,222,25.7735,-80.3572
20708,221,39.0499,-76.8345
94544,220,37.6374,-122.067
11238,220,40.679,-73.9644
90250,220,33.9143,-118.3493
77054,220,29.6852,-95.4017
30252,219,33.4768,-84.055
07065,219,40.6087,-74.2819
33023,218,25.9894,-80.2153
75071,218,33.1976,-96.6153
20716,218,38.9263,-76.7098
90012,217,34.0614,-118.2385
33324,217,26.1255,-80.2644
92883,217,33.7541,-117.474
90046,216,34.1074,-118.3652
30214,216,33.4679,-84.4806
10035,215,40.8011,-73.9371
30045,215,33.9367,-83.9573
10465,215,40.8261,-73.8196
02302,214,42.0847,-71.0002
10801,214,40.9166,-73.7877
90745,214,33.823,-118.2684
28216,214,35.2834,-80.8702
08861,214,40.5176,-74.2754
77396,213,29.9507,-95.2622
21133,212,39.3746,-76.8002
77047,212,29.6254,-95.375
27703,212,35.9781,-78.8439
28217,211,35.1714,-80.9084
38654,211,34.9441,-89.8544
10704,211,40.9176,-73.8593
32256,211,30.2214,-81.5571
11206,210,40.7012,-73.9436
21113,210,39.0762,-76.6996
90047,210,33.9569,-118.3073
77019,209,29.7517,-95.4054
70737,208,30.2473,-90.918
33160,208,25.9449,-80.1391
30064,207,33.9343,-84.6076
07111,207,40.7261,-74.2313
33009,207,25.985,-80.1407
20020,207,38.86,-76.9742
28078,206,35.4011,-80.8695
90746,205,33.8584,-118.2554
19145,205,39.9227,-75.1812
75001,205,32.96,-96.8385
32828,205,28.5523,-81.1795
60654,204,41.8923,-87.6373
30038,204,33.6823,-84.161
60637,203,41.7813,-87.6051
30315,202,33.7051,-84.3808
11412,202,40.6958,-73.7617
75070,201,33.1976,-96.6153
02368,201,42.1736,-71.0514
91344,201,34.2771,-118.4992
91710,200,34.0125,-117.6844
91203,200,34.1517,-118.2636
30019,200,33.9883,-83.8795
33179,200,25.9571,-80.1814
20001,199,38.9122,-77.0177
30228,199,33.4124,-84.2947
20906,199,39.084,-77.0613
37013,198,36.0595,-86.6592
33351,198,26.1793,-80.2746
21075,197,39.2058,-76.7531
94591,197,38.0985,-122.2124
33579,197,27.8024,-82.2755
77008,197,29.7991,-95.4118
90034,197,34.029,-118.4005
77578,196,29.4694,-95.3503
70072,196,29.8598,-90.1105
07036,196,40.6354,-74.2556
33029,195,25.9924,-80.4089
11230,194,40.6225,-73.965
33178,194,25.8141,-80.3549
33032,193,25.5303,-80.3918
30066,193,34.0378,-84.5038
22314,193,38.806,-77.0529
10037,193,40.8135,-73.9381
20782,192,38.9647,-76.9649
91350,192,34.4336,-118.5007
90706,192,33.8867,-118.1265
30078,192,33.8635,-84.0081
30047,192,33.8656,-84.0725
